Age,AnnualIncome,CreditScore,AccountTenure,MonthlyTxnCount,AvgTxnValue,MissedPayments,SupportCalls,OnlineUsageHours,HighRisk
37,2471850,893,9,36,6755,1,8,118,0
56,2910673,658,6,192,37656,3,8,72,0
60,1042606,432,6,140,42415,13,7,230,1
24,1738148,699,5,170,25949,0,4,197,0
22,650415,438,21,151,27484,0,2,183,0
26,1641008,545,14,249,33265,2,5,25,0
62,2950440,590,14,187,7627,0,7,223,0
24,228834,411,4,13,35088,3,5,181,0
49,748723,469,2,160,24790,13,6,149,1
38,1828661,898,2,180,54396,5,11,244,1
46,2733922,539,17,118,32199,12,11,73,1
64,778843,636,10,247,54043,4,6,227,0
54,285350,437,14,171,49079,8,6,165,0
30,214716,893,19,227,18263,12,8,192,1
56,1308837,535,17,195,58122,13,8,37,1
34,1145032,302,22,279,24922,11,0,96,1
51,1917780,870,11,293,4847,10,2,112,0
68,892019,415,7,68,26107,1,4,103,0
35,1640352,771,9,286,29757,1,10,109,0
28,2109042,430,14,177,18227,11,3,175,1
34,2077330,782,23,261,22154,2,11,192,0
43,2626934,700,4,207,17488,3,0,151,0
60,1087766,500,14,81,23403,8,0,168,0
41,1912460,591,20,107,57184,10,3,72,0
36,755134,641,24,230,11347,5,4,183,0
65,1060075,515,20,230,23467,12,3,85,1
38,2213783,884,17,231,47745,8,1,120,0
67,1535119,665,19,100,1091,4,4,212,0
44,930520,768,17,80,24922,8,9,141,1
46,2520886,717,14,37,55815,8,2,226,0
45,1248278,326,13,86,20838,0,6,116,0
65,323182,754,14,73,25087,14,3,98,1
61,248591,879,16,223,47548,8,1,117,0
49,1223671,313,21,124,40047,6,10,29,0
35,284106,397,15,52,33389,10,7,209,1
65,1850882,578,19,72,49467,7,9,33,0
21,2659150,789,22,89,29596,2,1,91,0
45,2225216,506,11,280,2776,0,10,47,0
27,364486,532,12,260,27720,3,6,82,0
29,1893696,872,11,209,41363,0,7,161,0
44,2908016,896,23,237,40344,0,9,78,0
21,2027528,538,5,69,34145,3,2,185,0
64,2264921,549,8,83,34053,7,5,54,0
28,935062,882,6,18,18960,11,11,86,1
44,927468,896,16,173,47738,0,3,158,0
31,2264618,605,12,163,55323,9,11,82,1
37,292508,762,6,120,600,9,1,203,0
28,1815328,535,13,196,9067,11,7,190,1
55,878283,590,7,187,9337,8,1,121,0
55,1364638,338,8,235,3882,5,8,202,0
53,2102453,482,12,172,22844,12,8,17,1
25,2289875,329,2,19,44200,4,10,225,0
62,2669750,687,23,197,55995,8,7,43,0
59,2919824,442,9,237,54468,8,9,147,0
61,2998658,718,13,267,14411,8,2,118,0
48,1624241,373,17,58,51675,12,7,138,1
27,1102810,354,13,184,7792,12,4,172,1
29,2838580,871,16,8,29642,11,9,114,1
28,464814,323,1,261,27028,2,4,64,0
32,1547239,321,7,244,17929,11,1,35,1
54,1175315,727,13,167,18981,11,11,77,1
53,2400717,331,14,142,53474,14,2,104,1
68,2967203,638,21,233,54473,7,7,142,0
43,385964,814,17,106,20750,9,0,96,0
44,1436855,811,16,197,28707,13,3,235,1
57,1246094,369,15,34,23093,3,5,88,0
55,1488220,387,17,299,27090,3,8,204,0
64,954108,870,2,251,41344,11,7,28,1
60,932878,518,12,225,35617,6,9,52,0
42,2230871,888,3,176,28474,14,4,48,1
47,1201622,569,9,164,17267,7,6,240,0
55,1836617,377,6,176,49406,3,7,164,0
21,1752053,891,6,67,30946,10,11,159,1
55,2563304,309,7,65,3085,9,8,58,1
57,2666704,767,8,69,17586,12,2,67,1
67,2559792,635,3,173,2596,5,10,68,0
34,561911,485,24,85,33586,0,7,216,0
23,1246251,845,15,251,41480,12,2,49,1
21,485356,420,22,272,50243,1,0,115,0
25,1724205,891,6,262,4604,11,3,24,1
46,1368694,864,11,77,51112,4,6,41,0
34,1987282,573,3,192,33127,3,8,67,0
59,2569180,709,16,29,27622,13,9,104,1
47,316481,657,6,232,51563,2,6,65,0
29,268259,397,11,122,3626,10,9,112,1
35,2346962,540,8,112,29468,13,10,218,1
35,2239246,856,23,246,44025,5,4,128,0
46,2313527,413,10,103,40180,9,0,61,0
62,2535269,786,10,26,33106,5,0,214,0
33,1142722,540,23,60,23731,12,11,239,1
52,1410213,455,3,153,23928,10,8,238,1
59,2399806,651,14,44,38616,13,3,217,1
69,1931009,343,19,154,1770,9,2,37,0
52,400798,891,21,125,56818,7,10,235,0
24,2430107,611,21,264,33549,14,4,105,1
50,2371641,437,9,30,27892,1,6,161,0
57,2829821,735,13,116,13044,6,6,135,0
43,2442019,442,9,27,22096,6,4,174,0
59,2262044,598,21,173,31433,1,7,199,0
65,2360151,861,12,268,2329,12,4,14,1
35,512051,561,14,120,58396,5,9,181,0
63,2175718,811,5,235,16838,4,3,224,0
49,2077631,361,6,193,37007,1,5,59,0
56,2991004,866,13,261,6776,8,2,222,0
33,2716779,722,13,124,52616,7,3,138,0
52,2268444,695,24,290,22500,6,7,201,0
27,2662365,330,6,277,47689,14,9,214,1
42,2841436,629,14,156,41031,13,9,245,1
48,1976025,468,11,90,15737,5,2,209,0
22,1354258,565,13,250,16784,4,10,10,0
62,2642905,607,12,297,36075,12,9,152,1
65,2806372,758,16,166,3419,8,2,211,0
26,1190170,484,6,104,11696,4,5,10,0
48,1933341,633,9,189,51222,12,7,215,1
48,1612210,814,17,280,27372,5,9,246,0
64,2030836,740,20,21,31038,2,1,61,0
64,2368477,690,16,264,6256,8,0,243,0
40,1801794,859,12,249,7207,14,9,110,1
50,2673722,553,18,54,27412,10,0,50,0
31,2874986,885,9,276,27532,13,6,72,1
48,2042556,634,3,239,57601,7,1,183,0
45,2150256,699,10,76,23760,8,8,30,0
59,2919220,465,11,48,13096,0,9,202,0
53,1316521,559,2,84,25136,0,3,248,0
21,259980,303,8,290,20459,12,6,228,1
47,1043214,418,20,53,52480,1,4,124,0
33,365301,769,11,102,19458,3,4,61,0
61,820670,769,18,29,3882,9,6,168,0
23,1302020,792,20,218,4264,4,8,208,0
59,497180,799,7,60,43707,12,3,219,1
26,882527,369,14,259,15650,14,8,45,1
28,1038099,669,7,160,49568,6,8,33,0
47,1867391,480,1,165,3924,3,10,175,0
29,646300,304,12,198,50750,12,7,108,1
57,787426,496,1,8,14771,0,0,77,0
53,1049333,346,3,272,11495,7,9,11,0
62,2708039,851,2,40,14082,10,10,108,1
64,1331614,439,3,20,13832,2,10,91,0
44,2256744,839,4,141,44567,8,8,203,0
35,1673437,726,14,82,697,14,2,100,1
52,1118164,888,23,77,59935,1,7,66,0
52,2666507,860,18,249,3188,10,4,72,0
44,993354,609,23,232,48157,0,5,113,0
61,1866561,573,5,199,7598,9,2,80,0
69,1424369,838,15,250,23013,7,10,50,0
69,2747624,689,16,93,43028,13,6,104,1
32,976385,758,8,264,9562,2,1,114,0
59,2104514,660,24,290,1009,0,2,235,0
22,2497167,368,21,143,52115,10,1,16,0
23,1276419,882,8,55,12725,2,10,66,0
69,1912982,730,7,151,27532,7,8,182,0
57,1206840,331,6,246,29467,10,10,135,1
69,1181489,812,7,236,56749,3,2,102,0
37,565208,481,23,31,18772,9,7,130,1
69,2525149,547,19,212,31846,10,5,145,1
22,2851786,596,22,142,35518,6,0,234,0
22,419356,329,22,159,37939,7,10,12,0
48,1875255,601,1,11,5510,14,5,113,1
43,684600,775,13,119,1484,6,7,169,0
57,1695318,651,7,96,34063,0,9,220,0
52,2108151,781,1,86,39357,3,2,77,0
53,2474284,616,10,17,47314,12,6,147,1
21,2557761,696,13,76,1347,12,5,27,1
39,846231,388,4,95,51043,9,0,92,0
22,969822,533,7,192,40861,8,1,190,0
64,2986202,467,6,109,22601,6,10,85,0
46,2522936,425,6,88,19877,11,4,148,1
52,214925,872,21,32,48342,14,6,169,1
26,1331760,419,11,283,8127,0,3,15,0
52,1849379,727,23,16,37725,7,5,175,0
24,2496482,489,9,154,37839,3,1,64,0
31,2957867,727,22,30,13091,13,4,165,1
37,1556789,859,7,218,27308,13,9,35,1
58,949695,501,9,244,27388,13,2,209,1
44,2592001,358,23,226,10129,11,0,83,1
25,2472133,522,6,72,58245,6,5,223,0
54,2516830,791,19,266,27296,12,8,235,1
26,2425653,310,14,115,47307,5,9,118,0
42,1364937,811,1,134,50529,6,7,124,0
31,1433387,609,16,163,20038,9,3,95,0
68,2505044,333,9,284,55361,9,7,159,1
36,811561,639,23,295,25982,0,10,15,0
53,250818,780,15,35,21325,11,4,232,1
29,2449119,873,19,93,1595,14,2,45,1
26,2651603,392,10,122,44982,5,3,136,0
36,1442057,432,16,134,35074,11,6,20,1
49,1697116,718,3,211,55648,2,4,91,0
23,1577640,767,19,63,48411,9,3,129,0
40,2743923,743,13,100,51328,3,2,43,0
56,318642,329,14,250,8899,0,2,12,0
39,395428,597,7,149,10057,13,9,114,1
46,601468,360,2,129,6001,12,5,124,1
23,1017276,757,14,26,59253,13,7,187,1
39,295687,603,23,289,40544,12,3,111,1
40,1747334,639,23,211,30160,9,0,45,0
52,2058373,747,17,262,44385,7,3,218,0
27,2587819,601,13,56,45717,13,11,103,1
61,2811665,839,2,42,10755,1,4,192,0
53,1390130,784,5,157,56833,2,7,39,0
60,2409257,376,4,220,25321,6,6,71,0
59,1879832,814,3,227,24952,1,1,190,0
38,2085118,848,14,147,52254,11,8,116,1
60,1994580,391,11,109,16261,3,2,59,0
21,1642285,765,8,14,22051,11,8,232,1
31,2336919,765,23,246,14515,6,0,169,0
48,2850990,898,9,118,20365,11,8,129,1
45,1772837,339,16,237,18361,2,6,121,0
43,1382618,628,3,73,23169,1,1,92,0
51,1871179,584,10,48,2997,7,9,18,0
50,295494,853,1,173,6350,1,6,122,0
62,1240016,365,9,215,51132,9,0,25,0
55,904537,408,16,280,2287,6,10,175,0
27,916861,714,9,111,51464,10,2,156,0
36,753188,391,12,171,32042,2,6,103,0
46,2311278,667,1,209,29287,3,2,45,0
68,541447,722,16,123,52575,5,1,20,0
69,416651,871,8,113,35829,10,4,88,0
22,2626357,539,14,243,19830,2,2,225,0
21,1740856,734,14,12,29184,0,8,242,0
68,2314130,511,10,47,16788,11,6,200,1
32,1511775,699,1,136,34183,7,10,94,1
25,2372734,825,6,210,25968,3,0,133,0
57,805502,767,9,284,23255,0,0,180,0
52,2735244,469,19,243,7813,1,5,83,0
29,1760155,509,22,281,11488,5,3,243,0
61,947520,555,16,50,29465,14,0,226,1
55,1811589,372,19,202,19699,0,8,105,0
39,2695623,446,11,125,47884,8,1,42,0
68,668163,639,21,224,22169,13,0,58,1
36,1039812,616,11,293,46722,6,2,188,0
23,970008,874,14,98,37861,7,9,187,0
40,2874773,453,7,296,1476,7,11,33,1
44,504603,554,12,157,17633,5,11,30,0
53,2595459,650,20,17,4055,7,0,163,0
44,1413619,846,20,211,57232,6,3,90,0
31,1969085,611,23,259,44628,0,3,156,0
69,1244654,433,5,162,21683,2,5,204,0
28,2578772,428,1,274,40723,8,11,214,1
56,1092008,735,11,72,19899,7,2,75,0
58,548737,579,15,261,12318,4,8,178,0
60,1746288,657,10,193,41728,0,5,73,0
40,1649299,551,15,7,31428,1,6,118,0
55,1712185,434,13,241,3528,9,5,233,0
68,2964630,822,15,136,56100,13,8,170,1
45,381601,618,2,175,26087,14,1,41,1
55,268682,379,22,274,43595,9,10,115,1
45,2744544,490,13,93,5739,8,7,162,0
49,1495129,752,12,107,18132,11,4,197,1
38,1614780,643,23,129,11899,9,1,140,0
66,859774,329,4,71,58606,7,6,115,0
38,1331606,713,12,267,28047,8,11,60,1
22,1368936,667,15,12,58566,1,4,16,0
55,2228217,895,13,48,34673,2,7,122,0
36,859297,801,2,139,23038,2,9,198,0
61,1204366,320,20,252,50090,0,10,34,0
56,2991177,848,16,29,15869,1,5,96,0
53,2764878,545,14,200,17198,9,6,101,0
24,1754473,582,21,196,35380,4,10,213,0
53,1362936,531,2,126,54648,6,11,17,1
34,1512470,615,17,264,50243,5,0,236,0
41,789306,635,16,51,47047,13,1,34,1
68,1242960,710,4,213,32135,1,8,231,0
40,1645819,544,11,93,29816,7,6,200,0
28,2433969,686,13,7,32867,3,6,169,0
27,392803,657,6,149,45750,10,3,237,0
23,1859848,321,17,26,55185,1,3,169,0
37,2142991,318,1,43,36938,14,2,62,1
53,2653039,586,9,299,49301,3,9,34,0
68,1057906,575,21,111,57700,7,3,35,0
32,1965472,851,18,104,18793,13,11,17,1
42,999838,371,11,276,57679,14,9,206,1
42,1437065,664,14,233,12788,0,5,244,0
66,1102479,634,2,289,4963,10,10,139,1
50,2158979,889,20,210,7274,8,2,156,0
58,2138165,498,11,75,35691,13,9,204,1
58,1791189,316,2,173,33009,7,7,213,1
65,2496908,517,4,189,11954,13,0,240,1
28,2175516,446,13,212,46355,7,5,233,0
47,2314821,509,6,275,31847,9,1,207,0
47,534154,713,7,139,20154,8,10,17,1
54,407836,629,22,150,26329,13,0,196,1
41,1740866,651,20,153,34721,6,11,142,0
50,332915,462,3,120,33463,10,3,86,0
53,396681,400,4,191,55238,8,11,168,1
48,2872252,626,21,24,9481,14,5,150,1
67,1002491,626,20,248,11759,0,6,127,0
53,1596989,454,3,71,36821,0,10,138,0
25,977150,309,1,66,45909,11,0,55,1
68,2322547,652,19,278,42272,3,2,141,0
39,1478283,482,21,114,30880,1,5,127,0
24,971469,754,13,60,38198,7,5,157,0
55,1976984,305,14,89,35848,0,9,102,0
69,2521991,632,22,268,26607,3,5,41,0
37,1468458,632,16,111,25049,10,6,106,0
64,1876099,557,4,16,33672,10,10,137,1
48,2290651,510,17,180,27823,13,6,87,1
50,1860809,350,10,31,8644,8,11,92,1
49,1491378,744,7,295,19728,1,9,124,0
66,974456,676,13,134,2836,5,7,140,0
26,1093155,785,13,231,41114,3,10,61,0
55,727169,350,22,140,14513,13,1,20,1
61,1071217,453,14,24,589,11,9,18,1
57,2755405,881,6,268,42865,3,0,194,0
44,2097465,609,16,163,21946,5,9,199,0
49,2463567,698,9,164,30496,9,6,193,0
69,1704181,433,20,30,30637,12,11,135,1
66,671466,519,16,85,28649,3,0,60,0
51,2270569,462,21,22,56380,14,1,229,1
55,1388304,868,21,73,10309,8,0,11,0
53,1516461,801,12,134,30580,11,11,86,1
41,347733,414,16,139,53246,11,11,236,1
52,1015122,798,5,222,10217,7,0,232,0
43,494977,771,24,19,48585,7,2,116,0
53,2924006,448,11,190,14060,4,3,215,0
23,1319816,540,1,199,26771,5,4,152,0
38,2928338,422,10,195,28766,14,4,78,1
45,1174645,368,11,238,37309,0,1,48,0
62,2506456,362,15,70,33188,0,10,43,0
51,555734,315,3,85,44622,14,2,239,1
23,2121620,689,24,40,25828,8,7,180,0
60,2670950,889,15,239,1215,11,1,75,1
66,2966952,557,11,21,47505,3,3,182,0
44,2416259,516,9,6,15663,2,6,106,0
52,601176,778,2,37,19325,4,8,136,0
67,1271038,413,12,138,25023,13,2,36,1
42,1243423,679,20,271,53081,14,2,76,1
43,2052829,536,16,9,38536,8,6,199,0
22,2717626,775,24,290,58318,8,7,73,0
47,292889,897,16,95,52473,2,3,139,0
62,288952,428,21,156,49305,11,0,165,1
22,917884,809,1,122,24944,6,4,127,0
46,615331,464,16,65,26727,14,10,231,1
37,1104498,576,6,30,55803,2,3,178,0
60,2998945,556,14,113,24280,14,10,123,1
53,421576,431,11,299,43577,2,7,96,0
29,943681,869,1,214,46258,3,6,106,0
63,2795301,556,20,263,16533,1,1,189,0
68,1065796,440,17,298,12452,5,5,23,0
59,2599940,508,23,46,43547,14,3,70,1
49,2621939,818,19,17,19785,4,6,215,0
62,454084,350,2,93,52752,9,8,59,1
46,329466,802,14,92,20476,9,6,22,0
55,2311740,558,8,191,25258,12,1,205,1
45,2440604,477,23,67,30110,1,7,123,0
44,1794575,842,22,47,23549,11,5,28,1
33,860457,655,6,237,40100,9,8,225,0
27,2151356,617,9,238,43082,14,6,45,1
56,1932329,663,5,79,33351,1,4,79,0
65,2057084,354,5,257,16969,13,7,21,1
40,1594994,455,18,153,40732,1,6,82,0
21,519753,343,22,186,10434,3,0,22,0
28,1746557,892,14,211,50962,2,10,33,0
66,974597,841,12,185,48736,8,4,183,0
36,255486,621,12,177,48147,12,6,24,1
34,934647,313,22,245,9632,4,9,183,0
32,229882,656,6,168,17920,11,6,123,1
43,2875518,782,4,67,18284,0,10,103,0
35,1487256,658,15,239,36748,1,2,105,0
48,1881594,617,23,129,54472,14,4,233,1
54,374898,374,15,261,39017,6,7,235,0
22,1598705,890,17,96,37981,7,8,44,0
52,2603324,493,3,229,55810,5,8,155,0
43,2217411,662,10,199,1224,12,9,220,1
42,2810023,395,21,211,33455,6,4,216,0
45,823226,339,22,292,23261,1,1,159,0
42,2939759,696,8,219,30971,13,7,34,1
42,756831,406,9,190,54482,11,6,33,1
69,848567,316,24,130,39869,5,3,143,0
62,2326514,826,3,286,36040,11,4,173,1
26,2717683,798,1,259,47748,5,11,147,1
35,2455970,824,11,65,37880,3,9,21,0
63,603273,342,13,205,35848,10,11,78,1
57,1029347,892,12,73,53352,3,11,157,0
53,1138565,649,21,289,19823,1,10,46,0
28,889517,329,7,67,1638,2,10,249,0
64,573519,740,2,138,7711,9,9,27,1
64,2768210,841,1,243,58047,5,1,120,0
25,1043224,754,20,256,24524,3,8,241,0
59,1476784,393,3,191,53032,2,11,234,0
24,2230888,594,4,25,47503,13,5,50,1
26,1237904,848,17,295,50997,0,8,21,0
65,1639918,388,18,50,32648,11,7,106,1
52,2052637,802,17,198,25436,14,0,206,1
50,2394102,513,19,61,50795,10,8,82,1
67,374942,721,4,46,33481,13,8,106,1
55,1783452,825,17,239,18732,10,3,201,0
60,2166522,491,22,20,50293,10,0,167,0
36,1091712,523,2,137,1105,12,3,247,1
33,2793347,854,10,5,15924,2,5,26,0
62,2243419,686,12,236,17249,0,3,44,0
50,2989657,773,13,154,18112,3,8,89,0
39,472743,502,11,126,34166,11,3,177,1
37,534738,746,21,286,29358,3,9,156,0
39,2773110,367,8,294,44231,10,7,69,1
48,932790,391,20,217,28140,11,1,184,1
46,1906875,477,5,285,52402,0,11,135,0
57,2550008,858,2,144,22264,14,6,139,1
46,484293,302,12,163,48437,6,7,207,0
43,397170,402,2,31,16973,4,5,179,0
29,1619754,572,6,166,50640,0,9,126,0
32,1429140,833,22,122,56709,4,5,246,0
21,379992,415,19,79,2940,11,7,197,1
21,771054,763,12,97,13961,6,2,248,0
67,2774584,403,13,38,6063,5,1,20,0
54,2908562,558,17,119,11903,9,8,82,1
52,995740,607,12,117,17176,14,7,36,1
68,2765513,666,3,64,26565,14,9,23,1
45,647095,601,24,286,54378,4,4,108,0
60,2830160,859,8,241,48874,7,4,135,0
65,2685500,326,16,130,11861,8,5,221,0
21,2901433,807,4,49,21149,0,5,196,0
36,1185979,826,24,292,5929,5,1,131,0
59,2606409,664,13,233,59293,14,6,105,1
25,1035358,597,8,201,54637,14,2,121,1
42,1679995,660,1,216,9782,1,7,145,0
49,1992837,803,3,75,55851,12,8,84,1
23,2171472,887,1,239,12321,7,2,203,0
32,404580,329,15,283,52267,4,5,14,0
46,774673,738,18,171,8842,0,7,167,0
36,1279229,639,20,199,15153,4,5,245,0
57,1340441,425,3,177,5934,9,9,242,1
42,850101,895,15,199,1483,12,2,212,1
49,1394447,865,22,67,2319,4,3,217,0
34,2545687,665,5,74,17860,1,8,34,0
48,1787916,742,21,227,55801,3,11,115,0
25,2434268,562,10,287,41648,12,11,34,1
67,2448095,521,7,83,6960,5,10,84,0
69,420375,301,23,40,36046,0,11,71,0
50,2803087,693,8,199,14416,10,0,74,0
66,2186314,605,3,221,19455,8,3,234,0
25,967522,445,18,292,9878,6,9,10,0
32,1205344,829,17,153,37169,5,0,129,0
36,2028881,827,16,277,3939,0,7,125,0
46,2642404,607,22,205,27640,7,6,184,0
46,1483596,639,13,158,56885,7,6,82,0
68,249892,651,4,26,42807,3,1,36,0
41,2478745,508,3,219,16713,3,9,47,0
59,1077933,504,11,126,30388,0,5,156,0
56,545535,314,2,270,38752,12,7,49,1
53,2577216,727,18,265,57189,14,7,218,1
50,2065993,775,4,59,36675,8,4,149,0
57,1407935,597,17,286,44085,13,7,75,1
43,983059,856,6,264,28828,7,1,209,0
30,2422854,393,10,287,58510,12,3,42,1
25,273527,406,11,234,34040,9,9,150,1
56,1115108,718,5,130,44664,6,1,52,0
54,1028667,577,18,263,46409,1,4,158,0
51,883019,427,10,54,26240,6,10,220,0
30,2584272,758,9,228,5453,3,2,171,0
39,1618351,337,16,286,5094,2,5,39,0
52,923666,497,10,150,9340,10,6,29,1
21,794670,656,10,49,27299,13,5,91,1
25,1003083,306,4,266,46355,11,10,222,1
65,380116,855,21,238,5446,9,1,129,0
24,214633,631,24,57,9751,3,1,173,0
36,279164,818,14,239,1487,9,3,16,0
44,987001,493,8,200,19074,12,6,206,1
36,2750268,615,1,8,37891,5,7,18,0
22,1053941,300,16,64,18669,6,4,54,0
69,323425,361,17,177,10219,1,9,27,0
48,974508,642,10,76,6649,6,0,56,0
52,1638242,317,6,79,29755,9,8,123,1
47,495182,670,7,26,56468,1,7,10,0
40,1428736,878,18,213,45779,10,0,237,0
44,1452825,870,2,55,2401,1,8,246,0
32,2502690,534,21,149,19287,0,4,87,0
55,2762584,368,9,276,19869,12,7,81,1
53,922153,746,5,48,35118,14,9,62,1
53,2194837,307,8,111,26083,10,9,46,1
63,2498618,761,24,154,5655,6,11,29,0
57,2769395,610,5,98,25621,0,1,104,0
32,1884038,433,24,268,6517,2,6,208,0
23,511416,684,15,114,25600,10,8,195,1
21,337980,355,8,22,12702,7,6,129,0
53,2701212,659,5,242,10429,0,8,50,0
60,1220669,413,5,243,1580,14,3,175,1
30,1841311,387,20,216,2521,11,4,53,1
63,929887,437,17,235,56826,13,6,130,1
64,1587828,407,9,298,55214,13,0,244,1
49,2733434,799,2,85,42798,5,1,152,0
33,426301,834,1,259,43618,11,1,122,1
32,1024765,443,22,236,11879,1,9,136,0
51,1107651,355,21,213,42790,8,8,172,0
66,1593749,305,11,25,1270,1,2,90,0
22,1550417,841,15,242,57832,5,8,36,0
55,2052642,746,1,265,22670,3,0,30,0
43,1111952,684,7,277,10433,8,10,49,0
37,2708401,606,23,284,29481,0,2,53,0
46,1190391,601,19,154,12881,0,9,118,0
28,255063,704,24,156,7859,9,1,99,0
49,2840780,861,15,286,56597,2,1,181,0
46,787069,809,6,65,24330,10,0,14,0
30,2204676,372,20,140,48163,5,5,106,0
46,2515138,863,10,16,46634,2,4,133,0
54,1555044,564,12,18,45572,6,11,186,0
61,421668,526,13,34,26434,8,4,206,0
27,2591938,492,15,291,11825,11,10,229,1
24,715518,673,19,224,23664,9,8,158,0
65,749666,309,17,242,11488,1,5,17,0
31,2602171,601,13,31,34864,3,8,75,0
49,1366747,658,2,261,27056,2,3,128,0
56,1610781,351,18,146,9247,5,6,174,0
45,788665,398,11,254,55098,4,10,151,0
41,778979,892,5,78,12656,11,3,171,0
56,2259417,312,4,203,12263,2,0,126,0
30,2608359,689,2,18,28135,8,3,117,0
57,816070,656,16,104,37622,11,1,69,0
29,2032760,310,7,95,17718,7,4,198,0
44,2375495,380,8,195,43107,2,10,183,0
55,2642367,560,8,110,44519,9,1,238,0
69,1122996,305,2,11,9558,4,1,158,0
55,2942839,757,15,85,33243,4,11,228,0
68,2852797,672,5,257,17787,4,10,27,0
56,2067322,780,19,144,27533,7,11,121,1
38,2739065,521,10,11,46443,2,3,70,0
69,794571,380,9,156,49794,2,6,206,0
59,2356719,814,22,294,55672,7,2,171,0
52,2606302,359,20,130,48000,8,10,91,1
44,2226091,520,8,289,24770,4,11,191,0
43,2534930,648,5,286,53375,14,6,108,1
52,1390334,860,19,78,36054,9,10,99,1
57,1529611,527,13,49,20274,7,8,166,0
32,2923172,589,14,21,40213,13,2,178,1
69,916079,592,8,237,3259,4,3,101,0
33,1212968,492,16,168,12581,11,0,207,1
43,1154227,773,22,67,8319,3,6,99,0
45,449465,556,5,97,28809,1,0,67,0
55,2521741,805,1,96,46670,10,11,219,1
61,2835466,687,19,46,10413,13,2,167,1
50,1531142,697,23,245,36421,14,8,170,1
37,495625,665,19,259,29190,12,11,200,1
69,833672,589,17,75,46958,13,4,105,1
40,258031,608,24,220,46200,3,9,227,0
68,2174601,577,23,60,36099,1,9,223,0
45,2118135,763,21,83,23396,6,10,43,0
42,2651550,488,10,125,43164,6,1,128,0
33,2281552,477,5,206,9149,8,8,128,0
39,2889672,827,22,261,59120,11,5,58,1
69,1915948,674,7,134,8031,3,8,21,0
56,542368,897,16,46,22196,4,11,159,0
32,2713825,753,3,78,24329,10,10,222,1
61,2760940,516,12,238,14468,3,3,161,0
39,960791,341,14,13,40470,3,5,65,0
32,2064968,493,20,35,44775,14,11,162,1
29,2384847,626,1,100,2108,4,6,203,0
27,1378642,672,7,262,37162,2,10,138,0
48,1387558,764,18,284,40056,13,5,211,1
34,2850250,462,23,233,50748,8,3,127,0
51,2841532,575,22,249,50278,13,7,171,1
39,1830969,663,4,202,50942,6,5,142,0
